Fish, Nemo, April 2nd, GoldFish, Orange
Cat, Shadow, July 3rd, American Bobtail, White
Dog, Dug, August 1st, Golden Retriever, Brown
Bird, Nigel, January 15th, Pelican, Brown
Fish, Owl, March 8th, StarFish, Yellow
Fish, Key, February 28th, Shark, White
Cat, Dia, December 13rd, Siamese, Black
Cat, Rally, May 4th, Ragdoll, White
Dog, Coffee, June 18th, Airedale Terrier, Black
Cat, Tae, July 22nd, Cymric, Brown
Bird, Bea, January 1st, Crow, Black
Bird, Carol, April 19th, Finch, Blue
Bird, Sally, May 5th, Flycatcher, Green
Dog, Cup, November 11st, English Cocker Spaniel, White
Fish, Neo, June 3rd, Tuna, Sliver
